code,YEAR,RANK,NUM_OF_GOLD,NUM_OF_SILVER,NUM_OF_BRONZE
AFG,2012,79,0,0,1
ARG,2012,43,1,1,2
ARM,2012,61,0,1,2
AUS,2012,8,8,17,12
AUT,2012,86,0,0,0
AZE,2012,30,2,2,6
BEL,2012,61,0,1,2
BLR,2012,26,2,5,5
BRA,2012,22,3,5,9
CAN,2012,36,1,5,12
CHN,2012,2,38,29,21
COL,2012,38,1,3,4
CUB,2012,16,5,3,7
CZE,2012,19,4,3,4
DOM,2012,46,1,1,0
ESP,2012,21,3,10,4
EST,2012,63,0,1,1
ETH,2012,24,3,1,3
FIN,2012,58,0,2,1
FRA,2012,7,11,11,12
GBR,2012,3,29,17,19
GEO,2012,39,1,3,3
HUN,2012,10,8,4,6
IND,2012,55,0,2,4
IRL,2012,42,1,1,4
ISR,2012,86,0,0,0
ITA,2012,9,8,9,11
JAM,2012,18,4,4,4
JPN,2012,11,7,14,17
KAZ,2012,12,7,1,5
KEN,2012,28,2,4,5
LTU,2012,33,2,1,2
MAR,2012,79,0,0,1
MDA,2012,75,0,0,2
MEX,2012,39,1,3,3
NOR,2012,34,2,1,1
NZL,2012,15,6,2,5
POL,2012,30,2,2,6
ROU,2012,27,2,5,2
SRB,2012,43,1,1,2
SWE,2012,37,1,4,3
THA,2012,57,0,2,2
TJK,2012,79,0,0,1
TUN,2012,35,2,0,1
TUR,2012,41,1,2,1
UKR,2012,14,6,4,8
USA,2012,1,46,28,29
UZB,2012,48,1,0,2
AFG,2016,88,0,0,0
ARG,2016,27,3,1,0
ARM,2016,42,1,3,0
AUS,2016,10,8,11,10
AUT,2016,78,0,0,1
AZE,2016,39,1,7,10
BEL,2016,35,2,2,2
BLR,2016,40,1,4,4
BRA,2016,13,7,6,6
CAN,2016,20,4,3,15
CHN,2016,3,26,18,26
COL,2016,23,3,2,3
CUB,2016,18,5,2,4
CZE,2016,43,1,2,7
DOM,2016,78,0,0,1
ESP,2016,14,7,4,6
EST,2016,78,0,0,1
ETH,2016,44,1,2,5
FIN,2016,78,0,0,1
FRA,2016,7,10,18,14
GBR,2016,2,27,23,17
GEO,2016,38,2,1,4
HUN,2016,12,8,3,4
IND,2016,67,0,1,1
IRL,2016,62,0,2,0
ISR,2016,77,0,0,2
ITA,2016,9,8,12,8
JAM,2016,16,6,3,2
JPN,2016,6,12,8,21
KAZ,2016,22,3,5,9
KEN,2016,15,6,6,1
LTU,2016,64,0,1,3
MAR,2016,78,0,0,1
MDA,2016,78,0,0,1
MEX,2016,61,0,3,2
NOR,2016,74,0,0,4
NZL,2016,19,4,9,5
POL,2016,33,2,3,6
ROU,2016,47,1,1,3
SRB,2016,32,2,4,2
SWE,2016,29,2,6,3
THA,2016,35,2,2,2
TJK,2016,54,1,0,0
TUN,2016,75,0,0,3
TUR,2016,41,1,3,4
UKR,2016,31,2,5,4
USA,2016,1,46,37,38
UZB,2016,21,4,2,7
